Sentence,Emotion,Emotion_ID
"And that you behave yourself, as he says.",neutral,0
Can we agree on that? We agree on that.,neutral,0
"Can we agree on that? Yes, we agree on that.",neutral,0
"Is there perhaps, to put a firm line under this, a hand involved?",surprise,6
I think it's a bit too early for that there.,neutral,0
"From me, yes. From you, yes?",neutral,0
"Okay, then I'm not...",sadness,5
"From now on, everything that happened in the past is buried.",neutral,0
Because there are health problems.,fear,3
I wish you and Lisbeth a lot of strength with that.,sadness,5
"Ingrid, I wish you lots of success with your health.",happiness,4
Leave each other alone.,anger,1
"Yes, fine. Thank you.",happiness,4
Yes.,neutral,0
Have lots of fun.,happiness,4
"Well, Mr. Visser, it's over again.",neutral,0
I hope it stays calmer...,happiness,4
and that another judge does not have to be involved.,happiness,4
"Because some people just keep going, right?",anger,1
"You know, Victor, if it were up to me, I would say...",neutral,0
"Been to court twice, it's over and done, finished.",sadness,5
It's in there. I'm sitting at home watching it...,sadness,5
"And yes, can I push through there?",happiness,4
We have a rowing open.,neutral,0
"After more than an hour of rowing, Camp North reaches the island of Simbang.",happiness,4
"We are finally arriving on that tropical island, to Vilgerpeddel.",happiness,4
And I was glad that we were there.,happiness,4
"I don't know, actually that's when the adventure really began for me.",neutral,0
"I think it's immediately a push, because otherwise it won't work. Immediately a push.",happiness,4
The participants still have to get the very heavy raft ashore.,neutral,0
"But because of the exhaustion at sea, there is no question of euphoria.",sadness,5
"The strange thing was that I had expected that at the landing moment, it would be a grand moment.",surprise,6
"Cheering, falling into each other's arms.",happiness,4
Almost all eight of us thought it was necessary to take care of that raft.,neutral,0
"Actually, no one is really here.",sadness,5
And then you arrive on an island for the first time.,surprise,6
"Then you say, come on guys.",happiness,4
And that just didn't happen again. And I found that rather unfortunate.,sadness,5
"Not much later, Camp South also reaches its island, Lima, exhausted.",sadness,5
"Yes, and now?",fear,3
"Well, Bacardi Cola, right? Yes.",happiness,4
Join him to Pinacanada.,neutral,0
"I really feel washed ashore. Soaking wet, exhausted.",sadness,5
And then just survive with what you find.,fear,3
Camp North and Camp South have arrived.,neutral,0
They are exhausted and it won't be long before it gets dark.,sadness,5
In these first few hours on the island...,fear,3
the foundation will be laid for the relationships within the camp.,neutral,0
Who takes the lead? Where do the priorities lie?,fear,3
"And above all, how do they cope with the few resources they have at their disposal?",neutral,0
"At Simwang, Camp North immediately goes looking for what the island has to offer.",neutral,0
The expedition members expect an extensive survival kit.,neutral,0
But that is also disappointing in this second expedition.,sadness,5
Each camp gets the bare minimum.,sadness,5
One axe and two kerosene lamps.,neutral,0
Thank you.,happiness,4
Is that a cartridge?,neutral,0
"Yes, it is.",neutral,0
Jesus.,surprise,6
Disappointment all over.,sadness,5
You think you find a chest with some food in it.,happiness,4
That you can make a fire.,happiness,4
"Well, so that euphoria was soon over.",sadness,5
There are no magnesium sticks or matches in the box.,sadness,5
So there are no tools to make fire.,sadness,5
"Yes, but where is that flint?",neutral,0
Because we knew in advance that there would be flints or something like that available for us...,neutral,0
...nobody has really delved into making fire.,sadness,5
"Look, there's a little point on this. That's open, I think.",surprise,6
And that's how it's closed.,neutral,0
I think we should figure that out tomorrow.,neutral,0
We have no fire tonight.,sadness,5
So we need a loop for that.,neutral,0
Everything starts again here. You have to go at it really hard.,happiness,4
Stay on your island as long as possible.,fear,3
And you keep going back and back to that.,anger,1
And yet I know...,neutral,0
And yet I know that I can't do that.,sadness,5
I feel that I am going to die here.,fear,3
I'm just leaving here.,sadness,5
I was really at that point last night...,sadness,5
...that I really thought that I...,sadness,5
I'm not going to feel so awful another night.,anger,1
I don't think anyone will understand...,sadness,5
...how bad I feel here.,sadness,5
Hilde is completely at rock bottom mentally.,sadness,5
Further participation in the expedition is irresponsible.,fear,3
She gets permission to leave the island.,happiness,4
I'm leaving to say goodbye.,sadness,5
I really don't feel anything anymore.,sadness,5
It has to be good.,happiness,4
I had the feeling that she was mentally breaking down.,sadness,5
"And if you get homesick, it's just as bad as an illness.",sadness,5
Yes.,neutral,0
It really does seem like a stunt.,disgust,2
I think she came here to escape.,fear,3
That failed though.,sadness,5
Once across the street and then...,neutral,0
I don't think I miss her family at all.,neutral,0
"Do it well, okay. Sorry, okay.",fear,3
Hello everyone.,neutral,0
Hello.,neutral,0
"Good bust for me, huh.",sadness,5
She is so happy that she went home.,happiness,4
She went completely crazy here.,anger,1
"At Lima, Camp South knows nothing about Hilde's departure.",surprise,6
They are opening one of the last coconuts on the island.,sadness,5
"After all, soon there will be the first confrontation with the other camp.",fear,3
"In the first Robinson challenge, there is something to win.",happiness,4
The coconut milk is supposed to cause extra cancer.,fear,3
It is the last time that the South camp opens the island.,sadness,5
It is the last time that the South camp opens the island.,sadness,5
It is the last time that the South camp opens the island.,sadness,5
The coconut milk should provide extra strength.,neutral,0
Food would not be a bad price.,neutral,0
I think the men should eat more.,neutral,0
They are very nice people.,happiness,4
I think the feeling that grabs you here is.,neutral,0
Yes.,neutral,0
Simbang is also preparing for the Robinson challenge.,neutral,0
"Well, who is next?",neutral,0
Who is next?,neutral,0
Richard has decided that his teammates need some power food.,happiness,4
In the form of live grasshoppers.,surprise,6
"But listen now, Mr. Sietse, you have accused yourself of poisoning the conifers.",anger,1
"Well, let's give them up for a moment, it's a lot of water.",sadness,5
"The expert says, it can't be true.",surprise,6
"Wouldn't this be a moment to say sorry, because you have accused someone of a criminal offense?",anger,1
Yes but...,fear,3
Nothing off then?,sadness,5
It's quite something.,surprise,6
Yes.,neutral,0
"And so it just keeps going, you know, because I have also received some disturbing messages,",fear,3
because the neighbor would have brought his sauna things.,neutral,0
"Yes, that's right.",neutral,0
And why was that just like that?,neutral,0
He went up the driveway.,neutral,0
On the little plate?,surprise,6
"Yes, yes.",disgust,2
"And he said that my thing was good, Hitler good.",surprise,6
I don't have any at all...,sadness,5
Why do you have such a grudge against me?,anger,1
I did not do that.,fear,3
I did not do that.,fear,3
"I can't prove it, but normally I should have gone after you.",sadness,5
"I would never bring a Hitler, not even to you.",disgust,2
How does she come to that?,surprise,6
"Yes, they accuse me of a whole lot of things and they are lying about everything.",anger,1
Ok̩.,neutral,0
They are a bunch who have pathological lies.,disgust,2
"Well, well, well, ho, ho, ho.",happiness,4
"So far, we have been able to establish once that you have lied,",anger,1
"namely that you accused them of killing their king, King Veren.",anger,1
That's correct.,neutral,0
So that's 1-0 for them.,sadness,5
So you shouldn't say that they are all together.,fear,3
"But my question to you is, how does she come to the conclusion that you portray Hitler well?",neutral,0
I didn't do it. I haven't done it.,fear,3
Didn't make any weird hand gesture either?,surprise,6
"No, really.",neutral,0
Waved at the neighbor lady?,neutral,0
"That may be, but if she then calls that a Hitler good...",disgust,2
Ok̩.,neutral,0
Then I actually know enough now.,happiness,4
Then I will think about the matter and then I will come back later,neutral,0
and then I will tell you what I think of it.,neutral,0
Yes?,neutral,0
See you soon.,happiness,4
"The neighbor claims that he very rarely makes noise,",neutral,0
but by now I have made more than 100 audio recordings.,happiness,4
It's done.,happiness,4
How are you?,neutral,0
"Yes, good.",happiness,4
"Yes, the calm before the storm?",fear,3
"Yes, I think so.",neutral,0
You need to hold this up for a moment.,neutral,0
Yes.,neutral,0
"Yes, well, yeah.",neutral,0
"Tomorrow, isn't Kaylee way too playful for Rick?",surprise,6
Am I your type?,neutral,0
"Well, basically not.",sadness,5
"Oh, I am too old.",sadness,5
That.,neutral,0
How big of an issue is that?,fear,3
"Well, apparently not then.",sadness,5
Am I your type?,neutral,0
You look good.,happiness,4
"You are beautiful, fun, nice.",happiness,4
"Yes, but could you put up with me for a long time?",sadness,5
Or do you think later...,fear,3
Jesus.,surprise,6
See you tomorrow.,neutral,0
This is my decision. The case is closed. Thank you.,neutral,0
The neighbor is said to have given a Nazi salute.,anger,1
"Yes, he went up the driveway and I said my thing well.",happiness,4
I did not do that.,anger,1
Why do you have such a grudge against me?,anger,1
They are a couple who are pathological liars.,disgust,2
Okay.,neutral,0
We think the neighbor is an old dirty little man and sneaky.,disgust,2
Everything he does is just to tease.,anger,1
Yes.,neutral,0
"Well, that's more like a little willy.",disgust,2
I am on my way to the Frisian village of Nijen-Hasken.,neutral,0
There lives 58-year-old Eddy together with his German girlfriend in a lovely house with a view over the meadows.,happiness,4
"Well, what more could you want?",happiness,4
"I would say, just enjoy the Frisian countryside.",happiness,4
But nothing could be further from the truth.,sadness,5
Because their privacy is seriously disturbed by the neighbors who watch them all day with all kinds of cameras.,anger,1
"Actually, they are just being spied on.",anger,1
And you can just feel it coming.,fear,3
Eddy and Ingrid do not appreciate that.,anger,1
"The way things are going now, we won't be able to keep this up much longer.",sadness,5
"Because it will escalate at some point, of course.",fear,3
And then I don't know what the consequences will be.,fear,3
"The neighbors in question, Sietse and Lisbeth, are unaware of any wrongdoing.",neutral,0
Those cameras are there purely for their own safety.,neutral,0
And they really don't intend to remove those things.,anger,1
We have four. We have four cameras hanging.,happiness,4
For any youth who might also come by.,neutral,0
"Or on the weekend, because then it can get pretty wild here, yes.",happiness,4
"By now, the situation has gotten so out of hand that it can no longer be filmed.",sadness,5
So bad.,sadness,5
And so it is high time that Mr. Visser and I travel to Friesland...,happiness,4
to really zoom in on this conflict.,neutral,0
MUSIC,neutral,0
He has enlisted his regular sound engineer.,neutral,0
"And in addition, he also had a soil investigation carried out.",neutral,0
To check whether those conifers are indeed poisoned.,fear,3
Or not.,neutral,0
"Alright, that's all for later.",neutral,0
"First, let's have a good conversation with both neighbors.",neutral,0
And we are going to do that for the house.,neutral,0
"Look, do you see them?",surprise,6
I see that you are eager.,happiness,4
"Come here with me, the neighbors are already waiting.",neutral,0
Yes.,neutral,0
Come join us.,neutral,0
Do we still greet each other.,sadness,5
I don't think that's wise.,fear,3
"If I had shaken his hand, it would be as if I were being hypocritical.",disgust,2
That is exemplary of how we feel about it now.,neutral,0
Yes.,neutral,0
"Six years ago, with teacher Riet.",sadness,5
Six years ago.,neutral,0
Did you also stand there like that.,neutral,0
Yes.,neutral,0
"And actually, we can conclude that since then it has only gotten worse.",sadness,5
"Yes, that's correct.",neutral,0
Why can't you just leave each other alone?,anger,1
"Yes, because they are always bullying.",anger,1
"But they say that you are bullying, right?",anger,1
That's not correct.,anger,1
Is that so?,surprise,6
"Yes, if you want noise, then you'll get more noise.",anger,1
But do you understand that such a remark does not go down well with the neighbors?,disgust,2
We do not experience that we make a lot of noise.,neutral,0
Every day that garage is open.,anger,1
So I'm not even allowed to open the garage door anymore?,anger,1
"No, because you are already working once.",neutral,0
During the week I am never at work then.,sadness,5
Everything is together.,neutral,0
"Yes, thank you.",happiness,4
"You are really good at that, you know.",happiness,4
The neighbor actually always lies.,disgust,2
He tries to wriggle out of everything.,anger,1
"Furthermore, a number of other things have happened.",neutral,0
"Ingrid, at a certain point a naked guy was hanged.",surprise,6
A towel on a line with the dick on it.,disgust,2
"First of all, that wasn't a towel, that was an apron.",neutral,0
Do you still have the apron?,neutral,0
"Yes, that's in the garage.",neutral,0
Take it.,neutral,0
Grab the apron.,neutral,0
What did you make of that?,neutral,0
To hang that up.,neutral,0
Just like those little beards that then hang on the garage door.,neutral,0
And your hand has to go around this.,neutral,0
So actually like this?,surprise,6
Yes.,neutral,0
And now?,fear,3
You have turned your elbow outward.,neutral,0
But that this string doesn't touch here.,fear,3
"Oh, when I shoot it or something.",neutral,0
"Yes, when you shoot it.",surprise,6
Ok̩.,neutral,0
I don't dare.,fear,3
It is not afraid.,neutral,0
You don't have to...,neutral,0
It is not scary.,neutral,0
Is it going to shoot against my finger?,fear,3
No.,anger,1
Letting go.,sadness,5
Harder.,anger,1
"Okay, yes.",neutral,0
"One, two.",neutral,0
Yes.,neutral,0
Ok̩.,neutral,0
Seven dots.,neutral,0
I don't aim.,sadness,5
Ah!,surprise,6
Yes!,happiness,4
Hoppa!,happiness,4
Ten questions.,neutral,0
"Oh, no.",sadness,5
This one is quite feisty though.,happiness,4
How do you deal with a partner who gets a lot of attention from the opposite sex?,fear,3
How do I deal with that?,fear,3
Yes.,neutral,0
Are you jealous?,surprise,6
Is she going to laugh?,neutral,0
Yes.,neutral,0
Yes?,neutral,0
And how does that manifest itself then?,neutral,0
I don't know.,neutral,0
Your partner is talking to someone and there is some winking and laughing going on.,anger,1
Winked eye for what?,surprise,6
How should I know.,neutral,0
I'm just asking you.,neutral,0
Don't get angry right away.,anger,1
Are you jealous?,surprise,6
Look here.,neutral,0
What do you mean by wink?,surprise,6
What do you mean by wink?,surprise,6
But why does your eye blink?,neutral,0
Just look.,anger,1
Why is your eye twitching?,neutral,0
"Yes, just look.",anger,1
"Try, huh.",neutral,0
I grabbed the thing and stuffed it in my mouth.,neutral,0
I still felt it moving.,fear,3
What does it taste like? A bit twiggy.,neutral,0
I still had pieces of coconut in my mouth with a little bit of water.,neutral,0
That was my first cricket.,happiness,4
"Well, that's it. She is baptized.",neutral,0
She has become an official wild one.,neutral,0
Now everyone has to do it.,sadness,5
You too.,neutral,0
You are not doing it?,surprise,6
"I'm a vegetarian anyway, so I can keep it up for a while longer.",neutral,0
I feel all those proteins through my body.,neutral,0
"Yes, sure. You feel the proteins rushing through your body.",happiness,4
Then I will eat it too.,neutral,0
"With or without proteins, North is determined to win the Robinson challenge.",happiness,4
And not just because there is a prize to be won...,happiness,4
that makes life on the island more pleasant.,happiness,4
It was incredible for morale when we won the last trial.,happiness,4
"No one felt hunger or fatigue anymore, only joy.",happiness,4
I hope we win something really tasty today.,happiness,4
"For example, a barbecue for all of us.",neutral,0
The two camps are being taken to the confrontation island...,surprise,6
for the first match.,happiness,4
"But today, each expedition member will also have to compete against themselves.",surprise,6
They are being tested to see how far they are willing to go to survive.,fear,3
What are we going to do today?,neutral,0
We have collected a number of local specialties for you.,happiness,4
One participant from each team takes a seat in this wheel.,neutral,0
I put a spin on it.,neutral,0
"And whatever comes in front of you, you eat as quickly as possible.",fear,3
We will keep going until all of you have had your turn.,neutral,0
"Special challenge today, with a wonderful prize as well.",happiness,4
This dive move.,neutral,0
For the winner.,happiness,4
"With that, a fish trap.",neutral,0
A so-called boeboe.,disgust,2
"With that, hopefully you can catch some fish.",happiness,4
First to stand up.,surprise,6
Melanie and Christy.,neutral,0
"Okay, Mel. Come.",neutral,0
"Yes, Mel can do that.",happiness,4
"Besides cockroaches, larvae, Malaysian bees and worms...",disgust,2
There are also two sweets on the wheel.,neutral,0
"If the expedition members are lucky, the wheel stops there.",happiness,4
A start.,neutral,0
"Come on, Mel. Lovely.",happiness,4
"Protein, protein.",neutral,0
Power.,neutral,0
"Yes, spaghetti. Spaghetti, Mel.",happiness,4
"Okay, guys.",neutral,0
"Yes, yes, yes.",happiness,4
So you always have to give me a tap or something.,neutral,0
A smack on your butt.,neutral,0
That is allowed too.,neutral,0
"No, but for example I also hear from friends that I'm not into this and all at all.",sadness,5
"Yes, you're not really a hugger or anything.",neutral,0
I'm not much of a hugger myself.,neutral,0
No.,neutral,0
"It's watery, by the way.",sadness,5
"Yes, enjoy your meal.",neutral,0
I hope it tastes good.,happiness,4
Yes.,neutral,0
I think that the one-on-one date works better than having longer moments where you are with the three of you.,neutral,0
I thought in a way it's maybe also nice that you don't have to keep the conversation going all the time with just the two of you.,happiness,4
Because there is always someone else who also...,happiness,4
"Yes, but the conversation does take a different form.",neutral,0
What are deep conversation topics for you?,neutral,0
Really talking about people's feelings.,happiness,4
But that you can also just get things off your chest.,happiness,4
And that someone really sincerely listens to it and responds to it.,happiness,4
Or you support where you can.,happiness,4
That's what I understand as deep conversations.,neutral,0
Okay.,neutral,0
Do you already think we've had deep conversations?,fear,3
Not really yet.,sadness,5
Okay.,neutral,0
Yes.,neutral,0
"Enjoy your meal, I would say.",neutral,0
Yours is really thick though.,happiness,4
"No, no, no.",anger,1
Is it good?,neutral,0
That one is also good. But a little bit...,neutral,0
Are you satisfied?,neutral,0
I did make an impression.,neutral,0
"Well, enjoy your meal.",neutral,0
Enjoy your meal.,happiness,4
We are through to the next round.,happiness,4
Yes?,neutral,0
Yes.,neutral,0
It is just reasonably good. Unbelievable.,surprise,6
"So, sushi tomorrow?",happiness,4
Make?,neutral,0
"Yes, sure.",neutral,0
How did you actually do last night with the sleeping situation?,neutral,0
I eventually lay down next to one of the two ladies.,neutral,0
And the other slept downstairs alone.,sadness,5
Ok̩.,neutral,0
Yes.,neutral,0
And how do you stand with me then?,neutral,0
"I would also, in principle, just like to lie next to you if you are open to it.",happiness,4
Because at this moment I am also having a really nice time with you.,happiness,4
And these are Ingrid and Eddy.,neutral,0
Hello.,neutral,0
Meester Visser.,neutral,0
"Mr. Visser, hello.",neutral,0
And they live here.,neutral,0
And there has been trouble for years about all sorts of things.,anger,1
There will be a solution tonight.,happiness,4
Can I do something for you?,neutral,0
Yes.,neutral,0
I have a list of all kinds of cars...,neutral,0
of which Mr. Koning says that they are his.,neutral,0
Are they all in your name?,surprise,6
They are all in my or my son's name.,neutral,0
Oh.,sadness,5
But he/she lives here too.,neutral,0
Good.,neutral,0
I'm going to take a look at what's there.,neutral,0
Yes.,neutral,0
Success.,happiness,4
Listening to Mr. Visser.,neutral,0
"Yes, let's do it.",happiness,4
Then we will first look at the camera.,neutral,0
That one is hanging there.,neutral,0
"And that camera, is it watching?",surprise,6
Now to the ground.,neutral,0
"Oh, but not always?",surprise,6
"No, he can turn this way.",fear,3
"Oh, it's a movable camera.",surprise,6
No.,anger,1
I find it strange that you then film all the cars here...,surprise,6
"I'll take a piece of this path, yes.",neutral,0
"Yes, up to here, right?",sadness,5
"No, not up to there.",fear,3
Yes.,neutral,0
But why is that camera hanging there then?,surprise,6
Then I can see which cars are here...,neutral,0
"Well, our cars and family and acquaintances.",fear,3
Yes.,neutral,0
And friends.,happiness,4
Yes.,neutral,0
He is hanging around here to see who comes in again.,neutral,0
Yes.,neutral,0
He even writes down all the license plates that drive onto the property here.,fear,3
"Because you don't have a hobby, but just a business.",disgust,2
"Because that's the hobby shed, I understand?",neutral,0
That is the hobby shed.,neutral,0
"Well, then let's have a look.",neutral,0
The VN 061 Richard.,neutral,0
State... Yes.,neutral,0
"There he is, you see.",neutral,0
This is basically our hobby shed.,happiness,4
Wow.,surprise,6
"Well, that almost hurts.",sadness,5
"I am going to pick you up, okay?",happiness,4
"But I have a knife in my hands, what do you do?",fear,3
I'll do that.,neutral,0
"So, that's quite relaxing for a moment, right?",happiness,4
Yes.,neutral,0
I do notice for myself that I can let myself go a bit more.,happiness,4
Even looser.,neutral,0
"Yeah, sure.",neutral,0
That was really amazing.,happiness,4
"Well, maybe because it's coming.",fear,3
"I can, like...",neutral,0
I am very openbroek.,neutral,0
"Only on the pages you see, there is nothing.",sadness,5
Empty.,sadness,5
"That's empty then, you know?",sadness,5
"You get a lot, but you get absolutely nothing.",sadness,5
I can only show my emotions or something like that.,sadness,5
Ok̩.,neutral,0
Is it generally difficult to show emotions?,fear,3
"No, it does start.",neutral,0
"It starts with a relationship, do you mean?",neutral,0
Or a date?,surprise,6
"No, a relationship.",neutral,0
That dating then.,sadness,5
That can stay very hard or something like that.,fear,3
Wow.,surprise,6
I don't know.,neutral,0
Yes?,neutral,0
Yes.,neutral,0
I don't want to get hurt.,fear,3
I have been pushed aside so many times in my life.,sadness,5
Yes?,surprise,6
And hurt.,sadness,5
Yes.,neutral,0
Where do we sleep?,fear,3
I think I would be okay with sleeping alone.,neutral,0
That is also fine.,neutral,0
Yes.,neutral,0
Good night.,neutral,0
Good night.,neutral,0
See you tomorrow.,neutral,0
We'll do it.,neutral,0
"Hey, bye bye.",neutral,0
Bye.,neutral,0
Bye.,neutral,0
Yes.,neutral,0
"Oh, I am being followed.",fear,3
"Oh, look.",surprise,6
Come over to me for a moment.,neutral,0
"Yes, yes, yes.",happiness,4
So you always have to give me a tap or something.,neutral,0
A smack on your butt.,neutral,0
That is allowed too.,neutral,0
"No, but for example I also hear from friends that I'm not into this and all at all.",sadness,5
"Yes, you're not really a hugger or anything.",neutral,0
I'm not much of a hugger myself.,neutral,0
No.,neutral,0
"It's watery, by the way.",sadness,5
"Yes, enjoy your meal.",neutral,0
I hope it tastes good.,happiness,4
Yes.,neutral,0
I think that the one-on-one date works better than having longer moments where you are with the three of you.,neutral,0
I thought in a way it's maybe also nice that you don't have to keep the conversation going all the time with just the two of you.,happiness,4
Because there is always someone else who also...,happiness,4
"Yes, but the conversation does take a different form.",neutral,0
What are deep conversation topics for you?,neutral,0
Really talking about people's feelings.,happiness,4
But that you can also just get things off your chest.,happiness,4
And that someone really sincerely listens to it and responds to it.,happiness,4
Or you support where you can.,happiness,4
That's what I understand as deep conversations.,neutral,0
Okay.,neutral,0
Do you already think we've had deep conversations?,fear,3
Not really yet.,sadness,5
Okay.,neutral,0
Yes.,neutral,0
"Enjoy your meal, I would say.",neutral,0
Yours is really thick though.,happiness,4
"No, no, no.",anger,1
Is it good?,neutral,0
That one is also good. But a little bit...,neutral,0
Are you satisfied?,neutral,0
I did make an impression.,neutral,0
"Well, enjoy your meal.",neutral,0
Enjoy your meal.,happiness,4
We are through to the next round.,happiness,4
Yes?,neutral,0
Yes.,neutral,0
It is just reasonably good. Unbelievable.,surprise,6
"So, sushi tomorrow?",happiness,4
Make?,neutral,0
"Yes, sure.",neutral,0
How did you actually do last night with the sleeping situation?,neutral,0
I eventually lay down next to one of the two ladies.,neutral,0
And the other slept downstairs alone.,sadness,5
Ok̩.,neutral,0
Yes.,neutral,0
And how do you stand with me then?,neutral,0
"I would also, in principle, just like to lie next to you if you are open to it.",happiness,4
Because at this moment I am also having a really nice time with you.,happiness,4
He refurbished three campers in the spring and sold them well.,happiness,4
And now he is turning this fire truck into a camper van.,neutral,0
This is no longer a hobby. This is just businesslike now.,neutral,0
And the municipality and everyone allows that.,anger,1
"But what would be wrong with it, even if he had a little business there?",neutral,0
Because I am always in the noise when he is working there with other cars.,anger,1
Okay. He makes a lot of noise with his tinkering on cars?,anger,1
Seriously? Can I hear one or two of them?,surprise,6
I am so curious what kind of noise you mean.,surprise,6
"Um, let me see. Yes.",neutral,0
"I thought, well, he's not doing that now.",sadness,5
Here he keeps revving all the time.,anger,1
That was based on what I had asked him at the time.,neutral,0
I had asked him if he had a car.,neutral,0
Wait a minute. Did he literally say that to you then?,surprise,6
Yes. And the last time...,fear,3
Then he was at it again.,anger,1
Then Lisbeth was lying in bed. It was on a Sunday morning.,neutral,0
Then I walked up to her and I said...,neutral,0
"Oh, well, goddammit.",anger,1
Then did you become very angry?,anger,1
"Don't stop with this noise. I said, then I'll go with other men.",anger,1
And then he was at it again.,anger,1
Then he was at it again. Then Lisbeth was lying in bed.,sadness,5
Then he was at it again. Then he was at it again.,anger,1
Then he was at it again.,anger,1
"I said, then I will take other measures.",anger,1
"Well man, do whatever you want. And it just went on.",sadness,5
He is just teasing us.,anger,1
And there has become a terrible amount of noise.,anger,1
SOUND OF BOAT,neutral,0
"The noise is so bad, and I have a really hard time with it.",sadness,5
Because I had a brain stroke.,sadness,5
I have been in the hospital for ten days.,sadness,5
"After that, I was sent home to recover.",sadness,5
"Alone... Resting. Resting, but I can't get there.",sadness,5
Because my bedroom is at the back.,neutral,0
And then I get the sound of tinkering and grinding.,disgust,2
And I suffer a lot from that. I'm not going to at any point...,sadness,5
The neighbor is in poor health at the moment.,sadness,5
"So he says, I need some rest from time to time, then I lie in bed during the day.",sadness,5
And then I am extremely bothered by the noise...,anger,1
from the neighbor's shed.,neutral,0
Nothing ever happens here during the day. How is that possible?,surprise,6
I think they are exaggerating a bit.,neutral,0
But of course your shed is right next to the neighbors' house.,fear,3
"So that's why my question is, is there often noise? No.",neutral,0
No.,sadness,5
Then we would also play with all kinds of things with conifers and such. That's right.,happiness,4
Shall we go take a look there as well? Yes.,neutral,0
"Well, plenty of space.",happiness,4
and do you also have arguments with the neighbors and do you also want trouble.,anger,1
Don't wait any longer. Email or call us.,fear,3
We will come to you as soon as possible. And then we will solve it.,happiness,4
"As always, thanks for watching again.",happiness,4
Have a very nice evening and see you next week.,happiness,4
Yes.,neutral,0
"Fortunately, we are still good with each other. Shall we do something fun?",happiness,4
"Yes, pole vaulting.",neutral,0
"Jumping over ditches, you mean? Yes.",neutral,0
I may say that I am good with the fireljeppen pole.,happiness,4
"Oh, really? Yes. Very good. Climb in there, okay.",happiness,4
LAUGHTER,happiness,4
Today in a brand new episode of Chateau Meiland.,happiness,4
"Well, guys. Fun, really. Fun.",happiness,4
"Well, fun. Totally fun.",happiness,4
"If this continues, I'm not going to that test weekend at all.",anger,1
"I'm going home, nice and easy.",happiness,4
"He can't take it all anymore, those men. No.",sadness,5
"I'm so fed up. Oh, I could cry already.",sadness,5
Push.,anger,1
Press and then push.,anger,1
"Well, I get so tired of that family.",sadness,5
They don't get it. I put the code in the app.,anger,1
Code.,neutral,0
And then press the left front one.,anger,1
Go push on that key.,anger,1
No.,anger,1
There.,neutral,0
We're going to make it a fun evening.,happiness,4
"Yeah, yeah. Cheers.",happiness,4
Cheers.,happiness,4
MUSIC,neutral,0
"After months of hardship, Code Rose is almost finished.",happiness,4
The pension has acquired an unmistakably French atmosphere.,happiness,4
Partly thanks to the now characteristic French nonchalance.,neutral,0
But the prospect that family and friends are coming to test sleep this afternoon...,happiness,4
provides the necessary tension.,fear,3
"I don't think this is okay, right?",disgust,2
What is not okay?,fear,3
This is now set up for four people and the intention was...,neutral,0
that as a couple you sit together cozily with a little table between you...,happiness,4
somewhere you can retreat.,sadness,5
And now it has become a kind of conference model.,neutral,0
"Yes, I don't like it.",disgust,2
You just put it down the way you want.,neutral,0
"Yes, I will do that later.",neutral,0
"Yes, we were actually supposed to have the test weekend...",sadness,5
22 april.,neutral,0
"But yes, we have adjusted that.",neutral,0
"Because attacks are coming, we are not going to make it.",fear,3
So then you don't have to talk about it anymore.,happiness,4
And yet... And Nanny.,neutral,0
"Well, the only thing I'm thinking now is it is...",neutral,0
They are quite big.,neutral,0
"Dad, come take a look.",neutral,0
Jesus.,surprise,6
"Look, those single bed sheets are quite large.",neutral,0
So how can I lay this down nicely?,neutral,0
I actually think it's good myself.,happiness,4
Ok̩.,neutral,0
I actually think it's quite beautiful linen.,happiness,4
"Yes, it is very beautiful.",happiness,4
Beautiful with that stripe in it.,happiness,4
Poopiefart-farter.,disgust,2
Poop eater.,disgust,2
Poopiefart-pee.,happiness,4
Poop-fart-pee.,happiness,4
"Well, what are you doing there?",surprise,6
"Claire, can you call my grandma for a moment?",neutral,0
Grandma!,happiness,4
What is the problem?,fear,3
"Well, look, they are single duvets of course, right?",neutral,0
"Yes, 90 by 1.",neutral,0
So either it leans over a lot and you do get the symmetry here.,neutral,0
"Yes, I would do that.",neutral,0
"Okay, well.",neutral,0
"Because if you fold it in half, you get a really big bump.",fear,3
That's correct.,neutral,0
This is beautiful.,happiness,4
What do you think dad would have chosen?,neutral,0
Option 1 or 2?,neutral,0
Symmetries?,neutral,0
I think with bump.,neutral,0
He also likes symmetries.,happiness,4
But he's also such a rascal.,happiness,4
"No, he grabbed the bump.",neutral,0
"Yes, he took the bump.",neutral,0
"Yes, no, I would do it like this.",neutral,0
Ok̩.,neutral,0
"Look, this really completes it, of course.",happiness,4
It is hotel chic.,happiness,4
"Yes, it's great.",happiness,4
Claire?,neutral,0
Poop fart.,happiness,4
"Poopiefart, to the next room, poopie.",happiness,4
People are working hard and everywhere people are getting in each other's way.,anger,1
Martien retreats to the rooms for one last wet wipe,neutral,0
about the mobile phone.,neutral,0
"This is very convenient, because when you are lying in bed, you can just",happiness,4
grab some veun.,neutral,0
You don't even have to get out of bed.,happiness,4
From your bed you can just grab your phone.,happiness,4
Yes.,neutral,0
And then it didn't really turn into anything.,sadness,5
Yes.,neutral,0
The last time I was in love was three years ago.,sadness,5
Okay.,neutral,0
How long have you been single?,neutral,0
I have now been single for a little over a year.,neutral,0
"And yes, for me it kind of fell apart a bit...",sadness,5
