Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:07:35,1900-01-01 00:07:37,"Casimiro, our head chef.","Casimiro, our head chef.",neutrality,neutral,neutral
1900-01-01 00:07:37,1900-01-01 00:07:38,Yes.,Yes.,agreement,neutral,neutral
1900-01-01 00:07:38,1900-01-01 00:07:39,Ready?,Ready?,anticipation,surprise,mild
1900-01-01 00:07:39,1900-01-01 00:07:41,Thank you.,Thank you.,gratitude,happiness,mild
1900-01-01 00:07:41,1900-01-01 00:07:44,Bread's dreadful.,Bread's dreadful.,disappointment,disgust,moderate
1900-01-01 00:07:44,1900-01-01 00:07:46,The dough ball.,The dough ball.,neutrality,neutral,neutral
1900-01-01 00:07:46,1900-01-01 00:07:49,"Wet, soggy, horrible dough.","Wet, soggy, horrible dough.",disappointment,disgust,moderate
1900-01-01 00:07:49,1900-01-01 00:07:50,Damn.,Damn.,frustration,anger,mild
1900-01-01 00:07:50,1900-01-01 00:07:52,"Do it, Casimiro.","Do it, Casimiro.",encouragement,happiness,moderate
1900-01-01 00:07:52,1900-01-01 00:07:54,Toasted ravioli for Chef Ramsay.,Toasted ravioli for Chef Ramsay.,anticipation,neutral,neutral
1900-01-01 00:07:54,1900-01-01 00:07:57,"I don't like any of the food, so I really","I don't like any of the food, so I really",displeasure,disgust,moderate
1900-01-01 00:07:57,1900-01-01 00:07:59,don't think that he will either.,don't think that he will either.,doubt,sadness,mild
1900-01-01 00:08:03,1900-01-01 00:08:05,Here's the toasted ravioli.,Here's the toasted ravioli.,contentment,happiness,mild
1900-01-01 00:08:05,1900-01-01 00:08:07,Thank you very much.,Thank you very much.,gratitude,happiness,mild
1900-01-01 00:08:07,1900-01-01 00:08:09,"Wow, wow, wow, wow, wow.","Wow, wow, wow, wow, wow.",astonishment,surprise,intense
1900-01-01 00:08:09,1900-01-01 00:08:10,Which bit's the toasted bit?,Which bit's the toasted bit?,curiosity,neutral,mild
1900-01-01 00:08:10,1900-01-01 00:08:14,"Yeah, I never have recommended the ravioli.","Yeah, I never have recommended the ravioli.",disapproval,disgust,mild
1900-01-01 00:08:14,1900-01-01 00:08:16,"I mean, they're raw.","I mean, they're raw.",disapproval,disgust,mild
1900-01-01 00:08:16,1900-01-01 00:08:19,"Yeah, a lot of people don't like them.","Yeah, a lot of people don't like them.",disapproval,disgust,mild
1900-01-01 00:08:18.123991,1900-01-01 00:08:21.363991,"They're either really raw, or they're just, like, cardboard.","They're either really raw, or they're just, like, cardboard.",disappointment,disgust,moderate
1900-01-01 00:08:21.363991,1900-01-01 00:08:23.563991,She doesn't know what stuff she's talking about.,She doesn't know what stuff she's talking about.,dismissiveness,disgust,moderate
1900-01-01 00:08:23.563991,1900-01-01 00:08:25.563991,"I mean, they're dangerous.","I mean, they're dangerous.",apprehension,fear,moderate
1900-01-01 00:08:25.563991,1900-01-01 00:08:26.603991,Does she eat them?,Does she eat them?,curiosity,neutral,neutral
1900-01-01 00:08:26.603991,1900-01-01 00:08:28.303991,"Tatiana, does she eat that dish?","Tatiana, does she eat that dish?",curiosity,neutral,mild
1900-01-01 00:08:28.303991,1900-01-01 00:08:29.603991,No.,No.,rejection,anger,mild
1900-01-01 00:08:29.603991,1900-01-01 00:08:30.803991,"No, will you ask her to taste one for me?","No, will you ask her to taste one for me?",request,neutral,neutral
1900-01-01 00:08:30.803991,1900-01-01 00:08:31.903991,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:08:31.903991,1900-01-01 00:08:32.803991,And then I think she'll 86 them.,And then I think she'll 86 them.,expectation,neutral,mild
1900-01-01 00:08:32.803991,1900-01-01 00:08:33.703991,All right.,All right.,acceptance,neutral,neutral
1900-01-01 00:08:33.703991,1900-01-01 00:08:34.803991,Toasted ravioli?,Toasted ravioli?,curiosity,surprise,mild
1900-01-01 00:08:34.803991,1900-01-01 00:08:35.703991,Really?,Really?,skepticism,surprise,mild
1900-01-01 00:08:35.703991,1900-01-01 00:08:36.603991,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:08:36.603991,1900-01-01 00:08:37.943991,It sounds like the owners are toast.,It sounds like the owners are toast.,resignation,sadness,moderate
1900-01-01 00:08:37.943991,1900-01-01 00:08:40.243991,He said taste it and agree with him and 86 it.,He said taste it and agree with him and 86 it.,compliance,neutral,neutral
1900-01-01 00:08:44.123991,1900-01-01 00:08:45.623991,Don't say anything to the chefs.,Don't say anything to the chefs.,wariness,fear,mild
1900-01-01 00:08:45.623991,1900-01-01 00:08:47.123991,Just let them be calm.,Just let them be calm.,soothing,neutral,mild
1900-01-01 00:08:47.623991,1900-01-01 00:08:48.523991,Calm a bit.,Calm a bit.,soothing,neutral,mild
1900-01-01 00:08:48.523991,1900-01-01 00:08:50.422991,"No, it's OK.","No, it's OK.",reassurance,neutral,mild
1900-01-01 00:08:50.422991,1900-01-01 00:08:52.422991,It's ridiculous.,It's ridiculous.,frustration,anger,moderate
1900-01-01 00:08:52.422991,1900-01-01 00:08:53.623991,I can't take food back there.,I can't take food back there.,frustration,sadness,mild
1900-01-01 00:08:53.623991,1900-01-01 00:08:55.163991,None of us can take food back there.,None of us can take food back there.,restriction,neutral,neutral
1900-01-01 00:08:55.163991,1900-01-01 00:08:56.463991,That's not how it's supposed to go.,That's not how it's supposed to go.,disappointment,sadness,moderate
1900-01-01 00:08:56.463991,1900-01-01 00:08:57.603991,"You're supposed to go straight to the chef and say,","You're supposed to go straight to the chef and say,",instruction,neutral,neutral
1900-01-01 00:08:57.603991,1900-01-01 00:08:58.703991,this is wrong.,this is wrong.,disapproval,anger,mild
1900-01-01 00:08:58.703991,1900-01-01 00:08:59.603991,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:08:59.603991,1900-01-01 00:09:00.703991,This is the frutti di mare.,This is the frutti di mare.,neutrality,neutral,neutral
1900-01-01 00:09:00.703991,1900-01-01 00:09:01.603991,Frutti di mare?,Seafood?,curiosity,neutral,mild
1900-01-01 00:09:01.603991,1900-01-01 00:09:02.603991,Wow.,Wow.,astonishment,surprise,mild
1900-01-01 00:09:02.603991,1900-01-01 00:09:04.103991,It's a bizarre looking frutti di mare.,It's a bizarre looking frutti di mare.,curiosity,surprise,mild
1900-01-01 00:09:04.103991,1900-01-01 00:09:05.003991,It's actually great.,It's actually great.,satisfaction,happiness,moderate
1900-01-01 00:09:05.003991,1900-01-01 00:09:05.902991,"Thank you, my darling.","Thank you, my darling.",gratitude,happiness,mild
1900-01-01 00:09:12.582991,1900-01-01 00:09:14.582991,Pasta's mush.,Pasta's mush.,disappointment,sadness,mild
1900-01-01 00:09:14.582991,1900-01-01 00:09:16.082991,It's way overcooked.,It's way overcooked.,disappointment,sadness,moderate
1900-01-01 00:09:16.582991,1900-01-01 00:09:19.582991,Oh my god.,Oh my god.,shock,surprise,moderate
1900-01-01 00:09:19.582991,1900-01-01 00:09:20.582991,Strands of mozzarella.,Strands of mozzarella.,neutrality,neutral,neutral
1900-01-01 00:09:20.582991,1900-01-01 00:09:22.082991,Is that mozzarella on top of that?,Is that mozzarella on top of that?,curiosity,neutral,mild
1900-01-01 00:09:22.082991,1900-01-01 00:09:23.082991,"Yes, it is.","Yes, it is.",acceptance,neutral,neutral
1900-01-01 00:09:23.082991,1900-01-01 00:09:24.582991,On a frutti di mare.,On a frutti di mare.,anticipation,happiness,mild
1900-01-01 00:09:24.582991,1900-01-01 00:09:26.082991,And then the pasta.,And then the pasta.,anticipation,neutral,neutral
1900-01-01 00:09:26.082991,1900-01-01 00:09:27.082991,It's just mush.,It's just mush.,disappointment,sadness,mild
1900-01-01 00:09:27.082991,1900-01-01 00:09:28.582991,It's almost like it's canned.,It's almost like it's canned.,skepticism,disgust,mild
1900-01-01 00:09:28.582991,1900-01-01 00:09:31.082991,And the mussels taste like old style.,And the mussels taste like old style.,nostalgia,happiness,mild
1900-01-01 00:09:31.082991,1900-01-01 00:09:32.082991,Are they fresh mussels?,Are they fresh mussels?,curiosity,neutral,neutral
1900-01-01 00:09:32.082991,1900-01-01 00:09:33.603991,I don't think so.,I don't think so.,doubt,neutral,mild
1900-01-01 00:09:33.603991,1900-01-01 00:09:35.603991,"And the shrimps, these ones are way overcooked.","And the shrimps, these ones are way overcooked.",disappointment,sadness,moderate
1900-01-01 00:09:35.603991,1900-01-01 00:09:36.603991,Those ones are gray.,Those ones are gray.,indifference,neutral,neutral
1900-01-01 00:09:36.603991,1900-01-01 00:09:37.603991,Strange.,Strange.,confusion,surprise,mild
1900-01-01 00:09:37.603991,1900-01-01 00:09:38.803991,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:09:38.803991,1900-01-01 00:09:40.103991,This has been going on for like a month or two now.,This has been going on for like a month or two now.,frustration,sadness,moderate
1900-01-01 00:09:40.103991,1900-01-01 00:09:42.603991,"He's just been thinning out bad shrimp, and we don't know why.","He's just been thinning out bad shrimp, and we don't know why.",confusion,surprise,moderate
1900-01-01 00:09:42.603991,1900-01-01 00:09:44.603991,Genevieve doesn't shut up.,Genevieve doesn't shut up.,annoyance,anger,moderate
1900-01-01 00:09:44.623991,1900-01-01 00:09:46.623991,And do you not tell the chef?,And do you not tell the chef?,suspicion,surprise,mild
1900-01-01 00:09:46.623991,1900-01-01 00:09:49.123991,"Well, I can't take complaints to the chef.","Well, I can't take complaints to the chef.",resignation,sadness,mild
1900-01-01 00:09:49.123991,1900-01-01 00:09:51.603991,Seriously?,Seriously?,skepticism,surprise,moderate
1900-01-01 00:09:51.603991,1900-01-01 00:09:54.603991,Tatiana doesn't really listen to any of us.,Tatiana doesn't really listen to any of us.,frustration,anger,moderate
1900-01-01 00:09:54.603991,1900-01-01 00:09:55.603991,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:09:55.603991,1900-01-01 00:09:58.103991,Not good.,Not good.,disappointment,sadness,mild
1900-01-01 00:09:58.103991,1900-01-01 00:09:59.103991,What the hell is that?,What the hell is that?,confusion,surprise,intense
1900-01-01 00:09:59.103991,1900-01-01 00:10:00.603991,It's the lasagna.,It's the lasagna.,certainty,neutral,neutral
1900-01-01 00:10:00.603991,1900-01-01 00:10:03.103991,That's the lasagna?,That's the lasagna?,doubt,surprise,mild
1900-01-01 00:10:03.103991,1900-01-01 00:10:05.623991,The lasagna is vile.,The lasagna is vile.,disgust,disgust,moderate
1900-01-01 00:10:05.623991,1900-01-01 00:10:08.123991,It's embarrassing to serve that to Chef Ramsay.,It's embarrassing to serve that to Chef Ramsay.,shame,sadness,moderate
1900-01-01 00:10:08.123991,1900-01-01 00:10:09.123991,What's in the sauce?,What's in the sauce?,curiosity,neutral,mild
1900-01-01 00:10:09.123991,1900-01-01 00:10:10.123991,Why is it that color?,Why is it that color?,curiosity,neutral,mild
1900-01-01 00:10:10.123991,1900-01-01 00:10:11.123991,It's pink sauce.,It's pink sauce.,neutrality,neutral,neutral
1900-01-01 00:10:11.123991,1900-01-01 00:10:13.123991,She doesn't know what's in it.,She doesn't know what's in it.,uncertainty,fear,mild
1900-01-01 00:10:13.142991,1900-01-01 00:10:14.142991,Pink sauce with lasagna.,Pink sauce with lasagna.,anticipation,happiness,mild
1900-01-01 00:10:14.142991,1900-01-01 00:10:15.142991,Is it his own recipe?,Is it his own recipe?,curiosity,neutral,mild
1900-01-01 00:10:15.142991,1900-01-01 00:10:16.142991,"Yes, it is.","Yes, it is.",agreement,neutral,neutral
1900-01-01 00:10:19.142991,1900-01-01 00:10:21.642991,The sauce tastes bizarre.,The sauce tastes bizarre.,confusion,surprise,moderate
1900-01-01 00:10:21.642991,1900-01-01 00:10:24.623991,And the mouthful I had was stone cold.,And the mouthful I had was stone cold.,disappointment,sadness,moderate
1900-01-01 00:10:24.623991,1900-01-01 00:10:26.123991,"It's hot one side, cold the other.","It's hot one side, cold the other.",discomfort,disgust,mild
1900-01-01 00:10:26.123991,1900-01-01 00:10:27.623991,Is that microwaved?,Is that microwaved?,suspicion,surprise,mild
1900-01-01 00:10:27.623991,1900-01-01 00:10:29.123991,It might be.,It might be.,uncertainty,neutral,mild
1900-01-01 00:10:29.123991,1900-01-01 00:10:30.623991,Don't answer a question you don't know.,Don't answer a question you don't know.,caution,fear,mild
1900-01-01 00:10:30.623991,1900-01-01 00:10:32.623991,Oh.,Oh.,disappointment,sadness,mild
1900-01-01 00:10:32.623991,1900-01-01 00:10:34.123991,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:10:34.123991,1900-01-01 00:10:35.123991,Right.,Right.,agreement,neutral,neutral
1900-01-01 00:10:35.123991,1900-01-01 00:10:36.623991,Is there a problem with his microwave?,Is there a problem with his microwave?,concern,fear,mild
1900-01-01 00:10:36.623991,1900-01-01 00:10:38.123991,Not that I'm aware of.,Not that I'm aware of.,uncertainty,neutral,neutral
1900-01-01 00:10:38.123991,1900-01-01 00:10:39.643991,It feels like the microwave's on the blink.,It feels like the microwave's on the blink.,frustration,anger,mild
1900-01-01 00:10:39.643991,1900-01-01 00:10:40.643991,"Yes, it is.","Yes, it is.",acceptance,neutral,neutral
1900-01-01 00:10:40.643991,1900-01-01 00:10:41.643991,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:10:41.662991,1900-01-01 00:10:44.162991,A restaurant can't get food microwaved properly.,A restaurant can't get food microwaved properly.,frustration,anger,moderate
1900-01-01 00:10:44.162991,1900-01-01 00:10:45.662991,I don't know.,I don't know.,uncertainty,neutral,neutral
1900-01-01 00:10:45.662991,1900-01-01 00:10:48.162991,Let me answer these questions.,Let me answer these questions.,readiness,neutral,neutral
1900-01-01 00:10:48.162991,1900-01-01 00:10:49.662991,"Still, there's always hope for the pizza.","Still, there's always hope for the pizza.",hope,happiness,mild
1900-01-01 00:10:49.662991,1900-01-01 00:10:51.662991,Especially looking at it like that.,Especially looking at it like that.,reflection,neutral,mild
1900-01-01 00:10:51.662991,1900-01-01 00:10:52.662991,All right.,All right.,acceptance,neutral,neutral
1900-01-01 00:10:52.662991,1900-01-01 00:10:54.162991,Maybe we can win him over with the pizza.,Maybe we can win him over with the pizza.,hope,happiness,mild
1900-01-01 00:10:54.162991,1900-01-01 00:10:55.662991,"It's crispy, right?","It's crispy, right?",curiosity,neutral,mild
1900-01-01 00:10:55.662991,1900-01-01 00:10:56.662991,No.,No.,rejection,anger,mild
1900-01-01 00:10:56.662991,1900-01-01 00:10:57.662991,It's like good.,It's like good.,contentment,happiness,mild
1900-01-01 00:10:57.662991,1900-01-01 00:10:58.662991,It's not pizza.,It's not pizza.,disappointment,sadness,mild
1900-01-01 00:10:58.662991,1900-01-01 00:10:59.662991,It's good.,It's good.,satisfaction,happiness,mild
1900-01-01 00:10:59.662991,1900-01-01 00:11:02.162991,"Yes, but it's not less cooked.","Yes, but it's not less cooked.",defensiveness,neutral,mild
1900-01-01 00:11:02.162991,1900-01-01 00:11:03.162991,What's it?,What's it?,curiosity,neutral,mild
1900-01-01 00:11:03.162991,1900-01-01 00:11:04.162991,It's like pizza.,It's like pizza.,indifference,neutral,neutral
1900-01-01 00:11:04.162991,1900-01-01 00:11:07.162991,It's the garlic chicken.,It's the garlic chicken.,neutrality,neutral,neutral
1900-01-01 00:11:07.162991,1900-01-01 00:11:10.662991,"God, I hope he likes something.","God, I hope he likes something.",anticipation,fear,moderate
1900-01-01 00:11:10.682991,1900-01-01 00:11:11.682991,Doughy.,Doughy.,neutrality,neutral,neutral
1900-01-01 00:11:15.182991,1900-01-01 00:11:16.182991,It's so bready.,It's so bready.,amusement,happiness,mild
1900-01-01 00:11:16.182991,1900-01-01 00:11:17.682991,So doughy.,So doughy.,disappointment,disgust,mild
1900-01-01 00:11:17.682991,1900-01-01 00:11:20.182991,And look at all this raw pastry underneath there.,And look at all this raw pastry underneath there.,disappointment,disgust,moderate
1900-01-01 00:11:20.182991,1900-01-01 00:11:21.182991,"Oh, no.","Oh, no.",dismay,sadness,mild
1900-01-01 00:11:21.182991,1900-01-01 00:11:22.682991,He doesn't like the pizza.,He doesn't like the pizza.,displeasure,disgust,mild
1900-01-01 00:11:22.682991,1900-01-01 00:11:25.182991,It resembles nothing homemade.,It resembles nothing homemade.,disappointment,disgust,mild
1900-01-01 00:11:25.182991,1900-01-01 00:11:26.682991,"Oh, my god.","Oh, my god.",astonishment,surprise,moderate
1900-01-01 00:11:26.682991,1900-01-01 00:11:29.182991,They've got a pizza that's come out of the oven.,They've got a pizza that's come out of the oven.,anticipation,happiness,mild
1900-01-01 00:11:29.182991,1900-01-01 00:11:31.182991,That feels like something that's been frozen.,That feels like something that's been frozen.,discomfort,disgust,mild
1900-01-01 00:11:33.682991,1900-01-01 00:11:35.182991,He hates our pizza.,He hates our pizza.,rejection,disgust,moderate
1900-01-01 00:11:35.182991,1900-01-01 00:11:36.682991,He hates our pizza.,He hates our pizza.,rejection,disgust,moderate
1900-01-01 00:11:36.682991,1900-01-01 00:11:39.682991,What a shame.,What a shame.,regret,sadness,mild
1900-01-01 00:11:39.703991,1900-01-01 00:11:40.703991,"Oh, dear.","Oh, dear.",concern,fear,mild
1900-01-01 00:11:40.703991,1900-01-01 00:11:42.703991,"Is it that bad, Chef?","Is it that bad, Chef?",apprehension,fear,mild
1900-01-01 00:11:42.703991,1900-01-01 00:11:44.203991,"Yeah, it's not funny.","Yeah, it's not funny.",annoyance,anger,mild
1900-01-01 00:11:44.203991,1900-01-01 00:11:46.203991,"I don't know what the giggles and the laughing is about,","I don't know what the giggles and the laughing is about,",confusion,surprise,mild
1900-01-01 00:11:46.203991,1900-01-01 00:11:48.703991,but the dishes have been dreadful.,but the dishes have been dreadful.,disappointment,sadness,moderate
1900-01-01 00:11:48.703991,1900-01-01 00:11:50.203991,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:11:50.203991,1900-01-01 00:11:52.703991,"I'm trying not to cry, but he's going to come after me.","I'm trying not to cry, but he's going to come after me.",dread,fear,intense
1900-01-01 00:11:52.703991,1900-01-01 00:11:54.203991,I can feel it.,I can feel it.,anticipation,surprise,mild
1900-01-01 00:11:54.203991,1900-01-01 00:11:57.203991,"Oh, my god.","Oh, my god.",shock,surprise,moderate
1900-01-01 00:11:57.203991,1900-01-01 00:12:00.203991,Do you seriously have a kitchen heater?,Do you seriously have a kitchen heater?,incredulity,surprise,moderate
1900-01-01 00:12:00.203991,1900-01-01 00:12:03.723991,After a lunch in which every dish had a failing grade.,After a lunch in which every dish had a failing grade.,disappointment,sadness,moderate
1900-01-01 00:12:03.723991,1900-01-01 00:12:05.223991,"It's hot one side, cold the other.","It's hot one side, cold the other.",discomfort,disgust,mild
1900-01-01 00:12:05.223991,1900-01-01 00:12:06.723991,Dreadful.,Dreadful.,dread,fear,intense
1900-01-01 00:12:06.762991,1900-01-01 00:12:11.262991,Owner Tatiana refused to pass on any of Chef Ramsay's criticism.,Owner Tatiana refused to pass on any of Chef Ramsay's criticism.,defensiveness,fear,moderate
1900-01-01 00:12:11.262991,1900-01-01 00:12:12.742991,This is Chef Casimiro.,This is Chef Casimiro.,neutrality,neutral,neutral
1900-01-01 00:12:12.742991,1900-01-01 00:12:13.742991,"Casimiro, how are you?","Casimiro, how are you?",curiosity,neutral,neutral
1900-01-01 00:12:13.742991,1900-01-01 00:12:14.742991,The head chef.,The head chef.,neutrality,neutral,neutral
1900-01-01 00:12:14.742991,1900-01-01 00:12:15.742991,Excellent.,Excellent.,satisfaction,happiness,mild
1900-01-01 00:12:15.742991,1900-01-01 00:12:16.742991,And first name?,And first name?,curiosity,neutral,neutral
1900-01-01 00:12:16.742991,1900-01-01 00:12:17.742991,Daniela.,Daniela.,neutrality,neutral,neutral
1900-01-01 00:12:17.742991,1900-01-01 00:12:18.742991,"Daniela, good to see you.","Daniela, good to see you.",warmth,happiness,mild
1900-01-01 00:12:18.742991,1900-01-01 00:12:20.742991,But the uninformed kitchen crew is about to be enlightened.,But the uninformed kitchen crew is about to be enlightened.,anticipation,surprise,mild
1900-01-01 00:12:20.742991,1900-01-01 00:12:23.742991,"So just explain, who's the head chef, please?","So just explain, who's the head chef, please?",curiosity,neutral,mild
1900-01-01 00:12:23.742991,1900-01-01 00:12:24.742991,Casimiro.,Casimiro.,neutrality,neutral,neutral
1900-01-01 00:12:24.742991,1900-01-01 00:12:26.742991,"Do you speak a little English, Casimiro?","Do you speak a little English, Casimiro?",curiosity,neutral,mild
1900-01-01 00:12:26.742991,1900-01-01 00:12:27.742991,No.,No.,rejection,anger,mild
1900-01-01 00:12:27.742991,1900-01-01 00:12:28.742991,No.,No.,rejection,anger,mild
1900-01-01 00:12:28.742991,1900-01-01 00:12:30.762991,And I'm upset.,And I'm upset.,frustration,sadness,moderate
1900-01-01 00:12:30.762991,1900-01-01 00:12:34.263991,"I mean, you have a really bad, depressing restaurant.","I mean, you have a really bad, depressing restaurant.",criticism,disgust,moderate
1900-01-01 00:12:34.263991,1900-01-01 00:12:35.763991,This place is a mess.,This place is a mess.,annoyance,disgust,moderate
1900-01-01 00:12:35.802991,1900-01-01 00:12:36.802991,And you know what?,And you know what?,curiosity,neutral,neutral
1900-01-01 00:12:36.802991,1900-01-01 00:12:38.802991,It's not even mediocre.,It's not even mediocre.,disappointment,sadness,moderate
1900-01-01 00:12:38.802991,1900-01-01 00:12:39.802991,The food is hideous.,The food is hideous.,revulsion,disgust,intense
1900-01-01 00:12:39.802991,1900-01-01 00:12:42.783991,And you don't need me to tell you that.,And you don't need me to tell you that.,resignation,neutral,mild
1900-01-01 00:12:42.783991,1900-01-01 00:12:46.783991,"The bread, that's the kind of bread that you're serving.","The bread, that's the kind of bread that you're serving.",judgment,disgust,mild
1900-01-01 00:12:46.783991,1900-01-01 00:12:47.783991,Touch it.,Touch it.,curiosity,neutral,neutral
1900-01-01 00:12:47.783991,1900-01-01 00:12:50.783991,"It's soaking wet, it's bland, and it's","It's soaking wet, it's bland, and it's",disappointment,sadness,moderate
1900-01-01 00:12:50.783991,1900-01-01 00:12:52.783991,"1,000 miles away from anything called focaccia,","1,000 miles away from anything called focaccia,",longing,sadness,mild
1900-01-01 00:12:52.783991,1900-01-01 00:12:54.783991,let me tell you.,let me tell you.,anticipation,neutral,neutral
1900-01-01 00:12:54.783991,1900-01-01 00:12:55.783991,It's embarrassing.,It's embarrassing.,embarrassment,sadness,moderate
1900-01-01 00:12:55.783991,1900-01-01 00:12:58.783991,"Pink lasagna, stone cold in the center, piping","Pink lasagna, stone cold in the center, piping",disappointment,disgust,moderate
1900-01-01 00:12:58.783991,1900-01-01 00:12:59.783991,hot on the right hand side.,hot on the right hand side.,observation,neutral,neutral
1900-01-01 00:12:59.783991,1900-01-01 00:13:00.783991,Disgusting.,Disgusting.,revulsion,disgust,intense
1900-01-01 00:13:00.783991,1900-01-01 00:13:02.802991,"I just, I trust him so much.","I just, I trust him so much.",confidence,happiness,moderate
1900-01-01 00:13:02.802991,1900-01-01 00:13:04.802991,I trust him.,I trust him.,trust,happiness,mild
1900-01-01 00:13:04.843991,1900-01-01 00:13:05.843991,You're full of shit.,You're full of shit.,contempt,anger,intense
1900-01-01 00:13:05.843991,1900-01-01 00:13:06.843991,I let him do it.,I let him do it.,resignation,neutral,neutral
1900-01-01 00:13:06.843991,1900-01-01 00:13:07.843991,I just let him do it.,I just let him do it.,resignation,sadness,mild
1900-01-01 00:13:07.843991,1900-01-01 00:13:08.843991,You trust them?,You trust them?,doubt,fear,mild
1900-01-01 00:13:08.843991,1900-01-01 00:13:10.843991,"I just trusted him to know what he was doing,","I just trusted him to know what he was doing,",trust,neutral,mild
1900-01-01 00:13:10.843991,1900-01-01 00:13:12.843991,because he's been doing it for so long.,because he's been doing it for so long.,resignation,sadness,mild
1900-01-01 00:13:12.843991,1900-01-01 00:13:15.823991,"No, the problem is, he's got away with it for so long.","No, the problem is, he's got away with it for so long.",resentment,anger,moderate
1900-01-01 00:13:15.823991,1900-01-01 00:13:18.823991,Frittata Mare with the overcooked linguine,Frittata Mare with the overcooked linguine,disappointment,sadness,mild
1900-01-01 00:13:18.823991,1900-01-01 00:13:19.823991,in a seafood dish.,in a seafood dish.,neutrality,neutral,neutral
1900-01-01 00:13:19.823991,1900-01-01 00:13:23.823991,"No salt, the shrimps solid like a bullet,","No salt, the shrimps solid like a bullet,",disappointment,disgust,moderate
1900-01-01 00:13:23.823991,1900-01-01 00:13:25.823991,and mussels that didn't even taste fresh.,and mussels that didn't even taste fresh.,disappointment,disgust,moderate
1900-01-01 00:13:25.823991,1900-01-01 00:13:26.823991,Where are the mussels from?,Where are the mussels from?,curiosity,neutral,neutral
1900-01-01 00:13:26.823991,1900-01-01 00:13:28.823991,The store.,The store.,neutrality,neutral,neutral
1900-01-01 00:13:28.823991,1900-01-01 00:13:29.823991,Show me.,Show me.,curiosity,neutral,neutral
1900-01-01 00:13:32.843991,1900-01-01 00:13:33.843991,"I mean, come on.","I mean, come on.",exasperation,anger,mild
1900-01-01 00:13:33.883991,1900-01-01 00:13:36.883991,What a mess.,What a mess.,frustration,disgust,moderate
1900-01-01 00:13:36.883991,1900-01-01 00:13:39.883991,"I mean, wow.","I mean, wow.",astonishment,surprise,moderate
1900-01-01 00:13:39.883991,1900-01-01 00:13:40.883991,What?,What?,confusion,surprise,mild
1900-01-01 00:13:40.883991,1900-01-01 00:13:42.883991,What else do you freeze?,What else do you freeze?,curiosity,neutral,mild
1900-01-01 00:13:42.883991,1900-01-01 00:13:45.862991,I don't know.,I don't know.,uncertainty,neutral,neutral
1900-01-01 00:13:45.862991,1900-01-01 00:13:46.862991,You want to come and see?,You want to come and see?,invitation,neutral,mild
1900-01-01 00:13:46.862991,1900-01-01 00:13:47.862991,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:13:47.862991,1900-01-01 00:13:48.862991,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:13:48.862991,1900-01-01 00:13:50.862991,"Well, if you don't know, let's find out.","Well, if you don't know, let's find out.",curiosity,surprise,mild
1900-01-01 00:13:50.862991,1900-01-01 00:13:53.862991,What is it that?,What is it that?,confusion,surprise,mild
1900-01-01 00:13:53.862991,1900-01-01 00:13:55.862991,You freeze meatballs?,You freeze meatballs?,curiosity,neutral,mild
1900-01-01 00:13:55.862991,1900-01-01 00:13:57.862991,When were these made?,When were these made?,curiosity,neutral,neutral
1900-01-01 00:13:57.862991,1900-01-01 00:13:58.862991,We buy them.,We buy them.,acceptance,neutral,neutral
1900-01-01 00:13:58.862991,1900-01-01 00:13:59.862991,You buy him meatballs?,You buy him meatballs?,curiosity,neutral,mild
1900-01-01 00:13:59.862991,1900-01-01 00:14:00.862991,He can't make a meatball?,He can't make a meatball?,incredulity,surprise,moderate
1900-01-01 00:14:01.862991,1900-01-01 00:14:04.862991,"He said, yeah.","He said, yeah.",acceptance,neutral,neutral
1900-01-01 00:14:04.862991,1900-01-01 00:14:05.862991,He can't make a meatball?,He can't make a meatball?,incredulity,surprise,moderate
1900-01-01 00:14:05.862991,1900-01-01 00:14:06.862991,He doesn't want to?,He doesn't want to?,uncertainty,surprise,mild
1900-01-01 00:14:09.862991,1900-01-01 00:14:10.862991,"Oh, wow.","Oh, wow.",amazement,surprise,mild
1900-01-01 00:14:10.862991,1900-01-01 00:14:11.862991,Can you make a meatball?,Can you make a meatball?,curiosity,neutral,neutral
1900-01-01 00:14:11.862991,1900-01-01 00:14:12.862991,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:14:12.862991,1900-01-01 00:14:14.883991,My hands are tied in this kitchen.,My hands are tied in this kitchen.,frustration,sadness,moderate
1900-01-01 00:14:14.883991,1900-01-01 00:14:17.883991,I don't have any input on what goes on.,I don't have any input on what goes on.,powerlessness,sadness,moderate
1900-01-01 00:14:17.883991,1900-01-01 00:14:19.883991,"Tatiana should step up to the plate,","Tatiana should step up to the plate,",expectation,neutral,mild
